t_seconds,strip,ink,occluded
130.0,6,0.08745,0
130.0,7,0.08596,0
135.0,0,0.15427,0
135.0,1,0.12547,1
135.0,2,0.11885,1
135.0,3,0.11148,0
135.0,4,0.08432,0
135.0,5,0.06906,0
135.0,6,0.09146,0
135.0,7,0.08521,0
140.0,0,0.13596,0
140.0,1,0.15969,0
140.0,2,0.08279,0
140.0,3,0.10544,0
140.0,4,0.07521,0
140.0,5,0.09221,0
140.0,6,0.05703,1
140.0,7,0.07885,1
145.0,0,0.1368,0
145.0,1,0.09242,0
145.0,2,0.07729,0
145.0,3,0.1012,0
145.0,4,0.10732,0
145.0,5,0.11242,0
145.0,6,0.07708,0
145.0,7,0.14203,1
150.0,0,0.16135,1
150.0,1,0.12357,1
150.0,2,0.13708,1
150.0,3,0.15375,1
150.0,4,0.13076,1
150.0,5,0.13078,1
150.0,6,0.15706,1
150.0,7,0.17057,1
155.0,0,0.13703,1
155.0,1,0.11083,1
155.0,2,0.10826,1
155.0,3,0.1344,1
155.0,4,0.10956,1
155.0,5,0.08383,1
155.0,6,0.07435,1
155.0,7,0.13057,1
160.0,0,0.14302,1
160.0,1,0.1144,1
160.0,2,0.10794,1
160.0,3,0.14102,1
160.0,4,0.09555,1
160.0,5,0.10562,1
160.0,6,0.11076,1
160.0,7,0.12758,1
165.0,0,0.14289,1
165.0,1,0.11523,1
165.0,2,0.11125,1
165.0,3,0.14188,1
165.0,4,0.09784,1
165.0,5,0.10635,1
165.0,6,0.11417,1
165.0,7,0.13073,1
170.0,0,0.0993,1
170.0,1,0.08471,1
170.0,2,0.08458,1
170.0,3,0.1056,1
170.0,4,0.10479,1
170.0,5,0.09492,1
170.0,6,0.08818,1
170.0,7,0.1219,1
175.0,0,0.07557,0
175.0,1,0.11229,1
175.0,2,0.0399,0
175.0,3,0.1087,0
175.0,4,0.10552,0
175.0,5,0.05596,0
175.0,6,0.05159,0
175.0,7,0.04049,0
180.0,0,0.07174,1
180.0,1,0.12669,1
180.0,2,0.10714,0
180.0,3,0.05339,0
180.0,4,0.12112,1
180.0,5,0.11844,0
180.0,6,0.06589,0
180.0,7,0.06227,0
185.0,0,0.15878,1
185.0,1,0.06383,0
185.0,2,0.12115,0
185.0,3,0.05716,0
185.0,4,0.11318,0
185.0,5,0.11958,0
185.0,6,0.07143,0
185.0,7,0.08154,0
190.0,0,0.11839,1
190.0,1,0.05112,0
190.0,2,0.1387,0
190.0,3,0.10323,0
190.0,4,0.09828,0
190.0,5,0.08258,0
190.0,6,0.04555,0
190.0,7,0.04294,0
195.0,0,0.14167,1
195.0,1,0.05693,0
195.0,2,0.11703,0
195.0,3,0.13344,0
195.0,4,0.11148,0
195.0,5,0.09878,0
195.0,6,0.05424,0
195.0,7,0.0444,0
200.0,0,0.15391,1
200.0,1,0.04393,0
200.0,2,0.12039,0
200.0,3,0.13289,0
200.0,4,0.10612,0
200.0,5,0.10005,0
200.0,6,0.05372,0
200.0,7,0.04469,0
205.0,0,0.12422,1
205.0,1,0.08599,1
205.0,2,0.18359,1
205.0,3,0.15161,0
205.0,4,0.12594,0
205.0,5,0.11417,0
205.0,6,0.07549,0
205.0,7,0.0775,0
210.0,0,0.16451,1
210.0,1,0.05299,0
210.0,2,0.09203,1
210.0,3,0.16065,0
210.0,4,0.1313,0
210.0,5,0.11542,0
210.0,6,0.07544,0
210.0,7,0.06906,0
215.0,0,0.14065,1
215.0,1,0.10052,1
215.0,2,0.17073,0
215.0,3,0.15201,0
215.0,4,0.13667,0
215.0,5,0.11698,0
215.0,6,0.075,0
215.0,7,0.07305,0
220.0,0,0.17078,1
220.0,1,0.06706,0
220.0,2,0.08557,0
220.0,3,0.15654,0
220.0,4,0.14052,0
220.0,5,0.11518,0
220.0,6,0.07451,0
220.0,7,0.07682,0
225.0,0,0.15628,1
225.0,1,0.02031,0
225.0,2,0.09526,1
225.0,3,0.14052,0
225.0,4,0.14049,0
225.0,5,0.09206,0
225.0,6,0.04865,0
225.0,7,0.04112,0
230.0,0,0.12721,1
230.0,1,0.04391,0
230.0,2,0.13992,0
230.0,3,0.1593,0
230.0,4,0.14242,0
230.0,5,0.09885,0
230.0,6,0.05198,0
230.0,7,0.04391,0
235.0,0,0.15831,1
235.0,1,0.11068,0
235.0,2,0.15576,0
235.0,3,0.17401,0
235.0,4,0.16156,0
235.0,5,0.11638,0
235.0,6,0.07914,0
235.0,7,0.07789,0
240.0,0,0.1632,1
240.0,1,0.04086,0
240.0,2,0.15299,0
240.0,3,0.16909,0
240.0,4,0.15932,0
240.0,5,0.11448,0
240.0,6,0.07448,0
240.0,7,0.07732,0
245.0,0,0.1757,1
245.0,1,0.07305,0
245.0,2,0.15208,0
245.0,3,0.17484,0
245.0,4,0.15922,0
245.0,5,0.11359,0
245.0,6,0.07555,0
245.0,7,0.07135,0
250.0,0,0.15299,1
250.0,1,0.09536,0
250.0,2,0.16677,0
250.0,3,0.17414,0
250.0,4,0.16349,0
250.0,5,0.11932,0
250.0,6,0.07789,0
250.0,7,0.07042,0
255.0,0,0.17464,0
255.0,1,0.05271,1
255.0,2,0.13073,1
255.0,3,0.10526,0
255.0,4,0.05771,0
255.0,5,0.0549,0
255.0,6,0.05615,0
255.0,7,0.06729,0
260.0,0,0.17857,0
260.0,1,0.11883,0
260.0,2,0.09794,1
260.0,3,0.08349,1
260.0,4,0.14221,1
260.0,5,0.05992,0
260.0,6,0.05792,0
260.0,7,0.07135,0
265.0,0,0.17982,0
265.0,1,0.11878,0
265.0,2,0.10276,0
265.0,3,0.12008,0
265.0,4,0.08755,1
265.0,5,0.11583,1
265.0,6,0.13266,0
265.0,7,0.07568,0
270.0,0,0.17878,0
270.0,1,0.12794,0
270.0,2,0.08396,1
270.0,3,0.10453,1
270.0,4,0.16031,0
270.0,5,0.08534,0
270.0,6,0.08703,0
270.0,7,0.07701,0
275.0,0,0.18055,0
275.0,1,0.11794,0
275.0,2,0.11258,0
275.0,3,0.14945,0
275.0,4,0.08523,1
275.0,5,0.1112,1
275.0,6,0.14302,0
275.0,7,0.07721,0
280.0,0,0.13281,1
280.0,1,0.03982,1
280.0,2,0.13823,0
280.0,3,0.18581,0
280.0,4,0.15018,0
280.0,5,0.10651,0
280.0,6,0.10362,0
280.0,7,0.07607,0
285.0,0,0.13305,1
285.0,1,0.14971,1
285.0,2,0.13078,1
285.0,3,0.12406,1
285.0,4,0.15258,1
285.0,5,0.10935,1
285.0,6,0.15732,1
285.0,7,0.10437,1
290.0,0,0.08,1
290.0,1,0.08565,1
290.0,2,0.0887,1
290.0,3,0.19234,1
290.0,4,0.17211,0
290.0,5,0.16396,0
290.0,6,0.11844,0
290.0,7,0.12096,0
295.0,0,0.08135,1
295.0,1,0.09414,1
295.0,2,0.07654,1
295.0,3,0.16049,1
295.0,4,0.17372,0
295.0,5,0.16224,0
295.0,6,0.11849,0
295.0,7,0.12234,0
300.0,0,0.09969,1
300.0,1,0.11779,1
300.0,2,0.06398,0
300.0,3,0.15174,0
300.0,4,0.17359,0
300.0,5,0.16354,0
300.0,6,0.12013,0
300.0,7,0.12263,0
305.0,0,0.05883,0
305.0,1,0.11794,1
305.0,2,0.09573,0
305.0,3,0.14542,0
305.0,4,0.16388,0
305.0,5,0.15458,0
305.0,6,0.11732,0
305.0,7,0.12008,0
310.0,0,0.07964,1
310.0,1,0.08768,1
310.0,2,0.10669,1
310.0,3,0.15672,0
310.0,4,0.16682,0
310.0,5,0.15622,0
310.0,6,0.11797,0
310.0,7,0.11378,0
315.0,0,0.07797,1
315.0,1,0.10979,1
315.0,2,0.04831,0
315.0,3,0.15878,0
315.0,4,0.17055,0
315.0,5,0.1582,0
315.0,6,0.11706,0
315.0,7,0.11747,0
320.0,0,0.07935,1
320.0,1,0.11766,1
320.0,2,0.05638,0
320.0,3,0.15583,0
320.0,4,0.16622,0
320.0,5,0.15234,0
320.0,6,0.11773,0
320.0,7,0.11701,0
325.0,0,0.10833,0
325.0,1,0.06107,0
325.0,2,0.08271,0
325.0,3,0.0862,0
325.0,4,0.07906,0
325.0,5,0.0631,0
325.0,6,0.06732,1
325.0,7,0.11583,1
330.0,0,0.08628,0
330.0,1,0.04211,1
330.0,2,0.02878,1
330.0,3,0.05997,0
330.0,4,0.04919,0
330.0,5,0.05456,0
330.0,6,0.05547,0
330.0,7,0.05766,0
335.0,0,0.16297,1
335.0,1,0.13919,1
335.0,2,0.09563,1
335.0,3,0.21633,1
335.0,4,0.09943,1
335.0,5,0.10404,1
335.0,6,0.08146,1
335.0,7,0.13518,1
340.0,0,0.0824,1
340.0,1,0.18802,1
340.0,2,0.09427,0
340.0,3,0.10612,0
340.0,4,0.07057,1
340.0,5,0.09164,1
340.0,6,0.1238,0
340.0,7,0.05359,0
345.0,0,0.10604,0
345.0,1,0.09721,0
345.0,2,0.0743,0
345.0,3,0.07365,0
345.0,4,0.07195,0
345.0,5,0.11424,0
345.0,6,0.06156,1
345.0,7,0.10766,1
350.0,0,0.09646,0
350.0,1,0.08107,0
350.0,2,0.07737,0
350.0,3,0.08737,1
350.0,4,0.05799,1
350.0,5,0.05385,0
350.0,6,0.05143,0
350.0,7,0.06099,0
355.0,0,0.09625,0
355.0,1,0.07984,0
355.0,2,0.07503,0
355.0,3,0.08589,0
355.0,4,0.07133,0
355.0,5,0.09523,1
355.0,6,0.05734,1
355.0,7,0.11117,1
360.0,0,0.14943,0
360.0,1,0.06427,1
360.0,2,0.11948,1
360.0,3,0.14857,0
360.0,4,0.08365,0
360.0,5,0.07107,0
360.0,6,0.06281,0
360.0,7,0.06846,0
365.0,0,0.10581,0
365.0,1,0.08453,0
365.0,2,0.10786,0
365.0,3,0.09461,1
365.0,4,0.05635,1
365.0,5,0.09706,0
365.0,6,0.07865,0
365.0,7,0.06357,0
370.0,0,0.15883,1
370.0,1,0.13865,1
370.0,2,0.10654,1
370.0,3,0.17953,1
370.0,4,0.10768,1
370.0,5,0.11229,1
370.0,6,0.0874,1
370.0,7,0.12271,1
375.0,0,0.09349,1
375.0,1,0.15349,1
375.0,2,0.14396,0
375.0,3,0.10044,0
375.0,4,0.08273,0
375.0,5,0.10789,0
375.0,6,0.11591,0
375.0,7,0.09964,0
380.0,0,0.16615,1
380.0,1,0.13839,1
380.0,2,0.10536,1
380.0,3,0.19635,1
380.0,4,0.10969,1
380.0,5,0.11586,1
380.0,6,0.08076,1
380.0,7,0.12464,1
385.0,0,0.16102,1
385.0,1,0.13706,1
385.0,2,0.09169,1
385.0,3,0.20135,1
385.0,4,0.12667,1
385.0,5,0.11742,1
385.0,6,0.09029,1
385.0,7,0.12044,1
390.0,0,0.16198,1
390.0,1,0.13852,1
390.0,2,0.09328,1
390.0,3,0.20667,1
390.0,4,0.12932,1
390.0,5,0.12482,1
390.0,6,0.09211,1
390.0,7,0.12549,1
395.0,0,0.1176,1
395.0,1,0.0376,1
395.0,2,0.07945,1
395.0,3,0.05893,1
395.0,4,0.06396,1
395.0,5,0.05125,1
395.0,6,0.0262,1
395.0,7,0.08516,1
400.0,0,0.18427,1
400.0,1,0.18102,1
400.0,2,0.11253,1
